handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
SamsungKE,Samsung Kenya,1642,3673,1,1,167,167,14,6429
geoffrey_cain,Geoffrey Cain,1980,4502,1,1,896,1204,177,7066
SamsungSSIC,Samsung SSIC,1232,1085,0,1,474,53,50,884
samsungnz,Samsung NZ,1341,2795,0,1,895,2974,95,1458
CBassNetball,Caitlin Bassett,2399,6597,1,1,271,21,106,12800
SamsungAustin,Samsung Austin Semi,2363,325,0,1,188,1,20,660
ARTIKCloud,Samsung ARTIK Cloud,1043,705,0,1,236,10,181,1224
SamsungNewsIN,SamsungNewsroomIN,182,112,0,1,3,0,1,152
drhew,David Rhew,3042,160,1,1,179,98,39,781
mattswider,Matt Swider,3170,3932,1,1,1572,1700,107,4411
mikeal,Mikeal Rogers,3892,51169,1,1,697,14345,1075,19065
gilsmithii,Gil Smith II,2765,8,1,1,260,18,81,14663
itrainrhee,Injong Rhee,2468,670,0,1,58,203,11,1232
SamsungService,Samsung Service,2234,115,0,1,16,0,17,2011
SerifTV,Serif TV,749,723,1,1,929,343,9,1039
bangodotcom,Bango,3053,1597,1,1,299,430,152,2143
SamKiesUpdates,SamKiesUpdates,2236,63160,1,1,3,0,556,33775
EVEGunjack,Gunjack,800,76,1,1,4,33,24,1009
singleymackie,Singley + Mackie,2523,1176,1,1,418,14,166,6681
updayUK,upday for Samsung UK,750,9784,1,1,684,255,44,560
Samsung_MobiIe,Samsung Mobile News,1495,35200,1,1,13917,0,35,20582
ravinderzutshi,Ravinder Zutshi,1012,105,0,1,53,15,1,1309
MCSaatchiSteveM,Steve Martin,3158,12011,0,1,1391,6267,101,5999
SamsungReports,Samsung,1912,1551,1,1,819,0,34,4406
Samsung_ID,Samsung Indonesia,2438,51523,1,1,3,84,1002,2121417
mattmiesnieks,Matt Miesnieks,3769,8279,1,1,938,14675,210,2410
Dagk,Dag Kittlaus,3196,784,0,1,318,21,244,5215
SamsungGifts,Samsung-Gifts.com,2119,3581,0,1,2096,0,3,1736
beist,beist,3210,3540,1,1,250,180,241,7579
SamsungSDSA,Samsung SDS America,1044,360,1,1,154,68,8,200
SamsungMobileZM,Samsung Mobile ZM,897,1198,1,1,381,548,9,1215
AtSignNick,Nick Tran,2752,1132,1,1,87,642,30,1320
SSMostLoved,Samsung Most Loved,547,282,0,1,152,78,6,151
RealShinB,SHIИB ◄► 신비,2878,3437,1,1,123,854,56,2423
goldenkrishna,Golden Krishna,2905,3928,1,1,2247,4003,350,6898
mombo,Richard McAniff,3616,1411,1,1,362,106,145,2768
atShruti,Shruti └[-∵-]┘AI VC,3090,3099,1,1,1550,2782,229,3568
fiahless,Felix Petersen,3831,2670,1,1,1753,150,176,4190
wooky2000,Wook Chung,3159,2587,1,1,693,7142,85,1086
OBrien_Kat,Kat O'Brien,2149,7025,1,1,263,8758,37,637
NickGearVR,Nick DiCarlo,1052,539,0,1,793,906,110,2129
rusignola,Michael Rusignola,3011,2242,1,1,858,4395,44,5298
PHOTOlulu,PHOTOlulu,3828,41516,1,1,284,485,75,2111
genebecker,Gene Becker,3680,9232,1,1,1096,6787,290,3067
jukevox,Matthew Hawn,3806,13864,1,1,1040,2077,101,1515
andreatrasatti,Andrea Trasatti,3447,10393,1,1,516,490,202,2068
texanrose,SJS,3350,7126,1,1,2937,1715,131,12290
Samsung_Daily,Daily,1554,3906,1,1,86,135,33,364
DigitalMarvyn,Marvyn Harrison,3137,57151,1,1,1558,3922,82,6540
samsungTEAM99,Samsung Team,2581,1742,1,1,519,56,1,727
jgerber,Jim Gerber,3501,2611,0,1,562,3805,25,655
akmunroe,Alexandra Munroe,1984,1325,1,1,265,739,61,11131
Nale,Natalia Burina,3424,7222,1,1,787,12840,155,1984
ckurdziel,Chris Kurdziel 🤘🏻,3206,14301,1,1,933,27297,115,1783
SamsungBrasil,Samsung Brasil,2975,61259,1,1,32505,96,1282,560105
AshlynBellerose,Ashlyn,2878,1755,1,1,10092,595,136,17516
Samsung_Egypt,Samsung Egypt,2082,16515,1,1,78,514,260,385246
nitinmisra,Nitin Misra,2999,4957,1,1,604,2054,37,1072
upe,Upendra Shardanand,3803,29,1,1,353,82,75,1120
SamsungCamera,Samsung Camera,3126,5539,1,1,32731,12,1048,760837
vishmon2012,Galaxy Mobile,1847,10878,0,1,360,2763,48,1378
SamsungChile,Samsung Chile,2291,35327,1,1,29029,20151,315,393948
giuliaccia,TravelReportage,3270,13709,1,1,1582,828,367,5253
SamsungMobileCA,Samsung Mobile CAN,3376,11229,1,1,1544,786,299,22529
rychoiMD,Ricky Y. Choi MD MPH,2364,20638,1,1,1714,11742,269,5343
Bippy,Bippy,3464,7752,1,1,546,180,10,521
spiderwebwoman,Kathleen Anderson,3597,5097,1,1,2479,2817,108,2076
SamsungMexico,Samsung México,2605,30227,1,1,14029,2440,698,763402
SamsungEspana,Samsung España,3021,50323,1,1,974,20893,1169,188141
SamsungItalia,Samsung Italia,2998,16453,1,1,663,2428,711,261977
SamsungRu,Samsung Russia,2922,18892,1,1,0,0,754,148548
Beth_Estella,Beth Avant,3460,30564,1,1,5740,2229,405,8026
SamsungTurkiye,Samsung Türkiye,2474,38489,1,1,51,7,313,258239
SamsungMobiAfr,SamsungAfrica,1799,2276,1,1,2247,134,123,269932
SamsungLatin,Samsung Latin,2699,31587,1,1,3679,1509,869,284744
SamsungAT,Samsung Österreich,2402,4481,1,1,161,212,90,16251
SamsungKZ,Samsung Казахстан,2842,6837,1,1,3234,406,146,172576
SamsungArg,Samsung Argentina,2389,57219,1,1,1144,8828,520,307663
SamsungEC,Samsung Ecuador,1978,9049,1,1,323,724,82,52392
samsungportugal,Samsung Portugal,2333,2591,1,1,293,1412,57,7338
SamsungCO,Samsung Colombia,2572,13475,1,1,1254,2325,331,268646
SamsungResponde,Samsung Responde,2642,31870,1,1,703,6217,937,136449
SamsungVE,Samsung Venezuela,2927,32612,1,1,1353,265,779,131927
SamsungGreece,Samsung Greece,2037,3249,1,1,347,11,150,167095
SamsungMobileTH,Samsung Mobile TH,2140,11605,1,1,840,460,150,48984
Samsung_Peru,Samsung Perú,2597,3007,1,1,409,724,163,130728
SamsungDE,Samsung Deutschland,767,16691,1,1,260,2070,184,107025
Samsung_NL,Samsung Nederland,2655,102497,1,1,660,3035,328,47551
The_Bike_Lane,Samsung Bike Lane,1617,598,0,1,79,476,34,2175
SamsungMaroc,Samsung Maroc,1930,3002,1,1,525,377,64,96845
SamsungMobileNL,SamsungMobileNL,2576,34238,1,1,2546,396,223,33687
SamsungRD,Samsung RD,2316,10132,1,1,157,3980,119,37787
SamsungPTY,Samsung Panamá,2193,12401,1,1,280,2397,139,69918
SamsungEmpresas,Samsung Empresas,626,1278,0,1,773,655,48,2325
SamsungSports,Samsung Deutschland,2955,100,1,1,183,1,74,4466
SamsungBelgie,Samsung België,2320,12954,1,1,761,2228,162,14635
SamsungFlash,SamsungNews,2958,12574,1,1,51,1,36,1290
SamsungOSG,Samsung OSS Group,1565,1228,0,1,92,485,99,1118
SamsungDK,Samsung Danmark,2388,2705,1,1,178,105,86,29103
SamsungCZSK,Samsung CZ a SK,2104,2134,1,1,330,302,69,16285
SamsungCR,Samsung Costa Rica,2673,5334,1,1,413,564,55,37941
SamsungLV,Samsung Latvija,3060,10797,1,1,670,489,106,11638
samsungukraine,Samsung Ukraine,3026,3622,1,1,5409,93,219,17150
SamsungSecure,Samsung Security,115,119,0,1,64,1,8,6659
Rikk55,Rik Lee,2754,991,1,1,1122,124,0,224
AndrewDickerson,Andrew Dickerson,3131,183,1,1,252,477,13,300
SamsungSmartCam,SamsungSmartCam,1034,710,1,1,178,129,15,5045
samsungbada,Samsung bada,2870,1891,1,1,1419,0,397,13502
SamsungCroatia,Samsung Hrvatska,2479,3777,1,1,543,862,52,5337
SamsungLT,Samsung Lietuva,2530,3488,1,1,1063,3,26,2716
SamsungProFR,Samsung Pro France,1148,1322,1,1,180,226,163,3293
updayDE,upday for Samsung DE,750,3155,1,1,236,70,29,1096
supportosamsung,Supporto Samsung,2020,32897,1,1,4237,136,75,12175
SamsungBizIT,Samsung Business IT,505,462,0,1,176,197,33,3443
SamsungKG,SamsungKG,2388,2107,1,1,1873,10,17,3828
SamsungBahrain,Samsungbahrain,2368,2419,1,1,2635,27,7,3635
SamsungEE,Samsung Eesti,2928,2630,1,1,170,10,17,982
SamsungUruguay,Samsung Uruguay,932,1735,1,1,228,2326,8,8763
Aditya_Prasetya,Aditya Prasetya,3008,9885,1,1,1640,1317,4,827
amitpaka,amit paka 🐨,3206,1734,1,1,501,722,0,370
mobilejae,Jae Shin,3109,890,1,1,472,4,12,447
SamsungNewsroom,삼성전자 뉴스룸,2828,12944,1,1,235611,467,3062,1063403
SamsungBelgique,SamsungBelgique,1136,4670,1,1,96,534,70,6142
SamsungMobileKR,Samsung Mobile Korea,2543,5059,1,1,125420,0,478,127934
SamsungUnlockPR,Samsung Unlock,2893,49151,1,1,48,230,18,865
SamsungCentroAm,Samsung CentroAm,2633,5181,1,1,2135,1663,45,31878
oscartrelles,Oscar Trelles,3869,13355,1,1,430,2457,226,2196
MinCheong,Min Cheong,3033,5367,1,1,692,1843,47,489
powersander,Julien Lecomte,2611,1811,0,1,36,296,31,430
GwentMoths,mel oxford,1807,9034,0,1,382,18872,20,973
divakarlasrini,Srinivas Divakarla,2854,2676,1,1,952,219,19,560
SamsungSpain,SamsungImagingSpain,2963,8,1,1,19,0,8,580
tianchad,TianChad,3220,51838,1,1,1169,993,94,2696
FirmwareSamsung,Samsung Firmware,816,65247,1,1,587,0,13,1618
martinkathriner,Martin Kathriner,2712,6561,1,1,1524,5630,364,2423
Zach_Petrick,Zach Petrick 페트릭,2506,398,0,1,315,410,130,5770
Samsung_Cares,Samsung,1440,974,0,1,47,352,7,3026
TheRoops,Mr Roops,3019,66141,1,1,2448,11214,41,920
iProLens,iProLens,2135,3611,0,1,515,36,55,1874
neilw,Neil Wehrle,3567,10309,1,1,621,3611,59,1038
SideKickWheels,SideKick Wheels,809,476,0,1,704,851,0,10790
scorpianaaaaaaa,Geaux Getta,3029,94604,1,1,295,210,24,1621
jenlynch,Jen Stratton,3376,2315,1,1,2444,1038,82,2364
Mavericksfolife,Mavericksfolife,1694,88212,0,1,1426,949,117,701
vstesin,Vlad Stesin,3845,1494,1,1,538,125,44,847
samsungmobilenp,Samsung Mobile Nepal,823,451,0,1,4,13,8,1363
LoLNoblesse,Noblesse,1963,592,1,1,714,35,6,1006
amitdayal,amit dayal,3023,69,1,1,128,15,7,439
Mark_Micheli,Mark Micheli,3083,1763,1,1,770,459,22,782
Samsung_Reviews,Low carb Diet,2751,32909,0,1,1613,0,15,687
affablechap,Christopher Buchanan,3827,5209,1,1,749,3883,67,995
Cyberrank10,CyberRank Prime,1095,9524,1,1,1890,12605,35,825
mkeblx,blix,3751,1502,1,1,1043,3324,92,886
tsella,Tom Sella,3976,4018,1,1,700,890,48,1360
geffchang,CHANG,2929,6393,1,1,172,822,8,418
tylerhopf,Tyler Hopf,2175,6990,1,1,1711,3959,142,2126
DesignKuhr,Rachel Kuhr,1718,448,1,1,353,162,23,684
jimbocoyle,James Coyle,3213,5192,1,1,1463,607,18,709
JeeeM,joran.maaswinkel.nl,3728,59052,1,1,1142,324,140,1509
vichasselmann,Victor Hasselmann,2860,318,1,1,337,938,26,302
staciechang,stacie chang,2588,2806,1,1,874,1486,27,829
hellosamyoo,윤수45國305市出張,2984,68207,1,1,526,24754,325,6931
robchristensen,Rob Christensen,3846,4420,0,1,221,1072,122,1717
wefix,weFix,2109,6191,1,1,696,641,36,3887
nicolah84,Nicola Hanley,3168,25437,1,1,1448,631,55,2451
nuysew,Wes Yun,3742,1277,1,1,946,252,48,894
damiankoh,Damian Koh,3393,3918,1,1,539,0,19,634
natlikethat,Natalie Monbiot,2335,1333,1,1,695,716,55,984
stevencook,Steven Cook,3420,5608,1,1,2078,396,302,2040
Samsungs7Edge,SAMSUNG S7 EDGE,548,2,1,1,292,2,1,1862
TheNestiO,TheNestiO,1015,3091,1,1,410,1373,117,3223
sophfeng,Sophia Feng,2971,80,1,1,84,33,3,254
iCharge,iCharge® Brand,3081,167,1,1,5842,172,130,9909
IanMcFa01767008,Samsung Surveillance,340,3553,0,1,2325,4387,6,1005
whitneytravels,Whitney Tressel,2189,1181,0,1,308,803,25,642
MYN,MarkYoshimotoNemcoff,3875,7714,1,1,1290,847,128,2609
RougeReporter,Trump WH Christmas,2737,42395,1,1,183,691,35,1317
hlray3,H.L. Ray,3114,2648,0,1,1715,919,21,724
CamSecurityNow,Camera Security Now,2130,7123,0,1,4908,37,236,8101
DainFitzgerald,Dain Fitzgerald,2968,18081,1,1,1777,3826,55,1379
chrisp,Christopher Paretti,3992,2366,1,1,287,43,31,513
alexchudesign,Alex Chu,1996,1336,1,1,854,2950,83,1103
taictran,Tai Tran,2051,656,1,1,272,1083,93,3354
Macmerise,Macmerise,1407,2822,0,1,290,1126,25,1567
Ze_Bach,Bachir Zeroual,2932,733,1,1,195,974,24,753
sammyhubcom,Sammy Hub,3179,6140,0,1,158,4,141,3867
caseygraf1,Casey Graf,1957,2470,1,1,2670,480,16,26342
ShubhodipPal,Shubhodip Pal,587,139,0,1,65,510,3,280
itnetinfocom,ITNET,3101,5326,1,1,443,554,32,2066
SamsungMobNepal,Samsung Mobile Nepal,379,52,0,1,5,15,1,1092
Starcom_STS,Starcom Team Samsung,1711,212,0,1,147,29,4,206
MooPhace,Rich,1807,8347,1,1,419,3707,24,1463
AsianGeekSquad,Asian Geek Squad,1136,2780,1,1,74,7524,83,11223
SamsungIDN,Samsung Indonesia,1063,8479,0,1,204,0,17,2052
