handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
obamabarrackk,Barack Obama,747,1699,0,1,1335,128,0,382
NilssonCarl,Carl Nilsson,2264,1609,0,1,941,317,33,1574
danflakchicago,Dan Shomon,2873,191,1,1,1597,18,50,1242
RyanK,RyanK,3886,18366,1,1,348,11122,73,3914
desertvoice,Desert Voice,3129,17303,1,1,2056,1007,68,1148
oatmealartist,Lauren Smith,3109,7944,1,1,488,3089,47,763
NewslockerObama,Barack Obama,1297,9341,1,1,873,0,4,802
aj_tweet_Daily2,Ann Gella,3358,20033,1,1,1377,8423,44,1729
garveygirl,L.A. West-Blackwood,2710,7560,0,1,1908,3424,43,892
zizii2,zizi2,2319,66229,1,1,1171,8031,71,2383
Jewtastic,Ron M.,2497,60809,1,1,1191,6825,326,10210
barrakoama,Barack Obama,1132,217,0,1,152,1070,0,376
besakof,Ben,2590,845,1,1,196,5912,9,952
StercaStercules,Sterling Targaryen,531,18607,0,1,361,938,29,1545
boomersooneraz,Amanda Thorson,3102,2363,1,1,1289,250,5,441
sammy_coppola34,barack obama,2027,3908,1,1,455,299,2,336
Alistjones1,@Barack_Obama_o_0,2520,2040,1,1,1078,31,0,389
ObamaBidenConvo,Barack Biden,305,48,0,1,1,2,10,10966
Kat4Obama,Kat 4 Obama,1909,631312,1,1,3663,157927,1196,6528
Abbenrode,Hanna Gerhard,3015,19772,0,1,2061,85,54,1746
TiinaKnuutila,Tiina Knuutila,2773,396,0,1,327,2,10,221
alexplatkin,Alex Platkin,2747,54,0,1,331,184,9,300
TRWBURROWS,Tom Burrows,3119,10786,1,1,2328,764,50,1247
forevercats,🐾 Jenny Dawn,3002,9795,1,1,2517,68062,8,1307
TaraDontCurrr,taradontcurrr,1972,43618,0,1,255,553,11,3498
stufankjian,Scout Tufankjian,2417,3359,0,1,755,4738,73,1889
USA_OBreezy,Barack Obama,651,22,1,1,26,9,0,40
Lilly_Ledbetter,Lilly Ledbetter,1704,793,1,1,153,63,111,3970
JKennethWhite,John White,2958,2403,0,1,536,311,26,421
Barack_Bees,Barack Obama,863,14008,1,1,3,10,1,59
PhattyF,SueBee,2326,30348,0,1,701,3234,10,587
_blackbird37_,Together Action,2169,701,0,1,3456,1882,9,7210
Aubrey_Gayle,Ms. Aubrey D.,1490,28963,1,1,2274,808,72,1689
chefexperte,Barack Obama Jr.,3163,2282,0,1,65,713,4,57
anitaferguson11,anitamurie ferguson,1795,16149,0,1,2492,2878,0,2040
JoeCienkowski,Joe Cienkowski,2993,203508,1,1,4005,5625,355,4475
boytoy1814,Lenny A.Walker,3101,33233,1,1,2917,18169,55,4741
j0hnnychen,Barack Obama,1491,736,0,1,42,321,0,281
SamuelDHughes,Samuel Hughes,3067,4537,1,1,1564,10709,40,439
sfarmer76,Steven Farmer,3762,16912,1,1,1953,14790,9,677
wbuharryy,malin,1998,62720,1,1,1336,3317,88,7684
BaracksFlagpin,Baracks Flagpin,2277,934,0,1,23,7,22,647
deereedawson,dez.,2559,100091,1,1,1485,1931,14,2315
RESTED,Rested,874,7998,1,1,532,6934,6,945
CatLadyLC,Laura,3283,47539,1,1,5873,848,149,7124
nadiepetah,Barry Sensa,2706,28798,0,1,5198,7715,103,6427
jasebarrack,Jase Barack Obama,1836,979,1,1,205,879,0,181
davidmendell,David Mendell,3263,87,1,1,309,25,15,236
EtseSikanku,Etse Sikanku,822,1091,0,1,590,79,3,777
balders8,Hannah Baldwin,3145,7450,1,1,505,2585,11,437
PeimanGhasemi,PiMann Getsemi,1601,2755,1,1,2500,531,23,2088
Kurtwill123,Kurt Willow,1287,3555,0,1,1722,1303,57,1677
MrAlexDickinson,✖️ALEX✖️,3174,1782,1,1,667,627,7,470
AlbertRajib,Barack Obama,1209,25,0,1,1704,401,0,97
KathyKent76,Kathy Kent,3340,3981,1,1,1976,7801,29,1027
vrsheely,BG-93,2328,6135,0,1,1961,814,18,1132
ObamasScandals,Barack H Obama,1071,13586,0,1,74,102,6,165
pjoyfarra,((pjoy))pjoyfarrar,2558,44029,1,1,1600,1866,57,1267
RLP379,Ronnie Bell,1307,3727,0,1,2315,2265,58,2067
BHOTaileprompt,BHO Taileprompter,3084,8168,1,1,32957,19,108,32863
NotBarackHObama,Not Barack Obama,1377,557,1,1,358,175,1,93
northcoastblog,North Coast Blog,3100,23931,0,1,1964,1207,40,524
jonafeldman,corgi lannister,1185,1799,1,1,1791,4541,10,343
adenjayde,aden,2258,3845,1,1,438,26059,2,1274
quileswd,JoseGirl,1752,35568,0,1,738,14916,46,781
hicharissa,Charissa,2173,2782,1,1,368,9140,2,612
LOWERCASEtrump,LOWERCASE 🚫 trump,34,1007,0,1,1168,197,1,132
MrsPeebodys,Sybil Boyd,1809,5137,0,1,1127,119,31,906
MereHsTorres,Meredith Torres🕊,1832,1678,0,1,2397,9777,5,1306
steshaw84,Ste Shaw,3145,749,1,1,110,289,3,131
Just10Bucks,"James Mason, Founder",3339,668,1,1,1839,7,17,19162
Damascus_Steele,Dambrauskwhat?,2515,16888,0,1,842,26512,22,584
Josh_S4M,Barack Obama,2867,2280,1,1,163,4,0,165
salves26,Sean Alves,3056,359,0,1,550,960,1,89
Sidewhisker,Sedgley,1388,655,1,1,668,1578,8,843
brinanamyers,barack obama,1636,1347,1,1,65,888,4,176
shermanturner,Sherman Turner,2456,14020,0,1,11937,1,177,12086
chlo_bama,Chlo Chlo,2915,13039,1,1,499,3166,2,371
BarryandJoeTAS,BARRY AND JOE!,41,356,0,1,905,225,1,253
RonPolland,Ron Polland,1408,24670,1,1,2066,2037,32,1177
godlycapitalist,Godly Capitalist,766,1619,0,1,7941,298,28,9369
BrownQawi,genius loves company,2043,2620,0,1,1922,203,19,783
Baracnews77,Barack Obama news,504,7657,0,1,262,124,8,117
barackobama44,Barack Obama,3092,58,1,1,1944,0,219,36043
TheOxyCon,EneMedia™,2153,17652,1,1,1436,34147,5,1256
profeliofrance,"Dr Prof R Edith, PhD",1253,3050,1,1,1725,5151,45,1276
crhodesunc,Christian Rhodes,2826,1003,0,1,606,87,3,211
Baraobama2,Barack Obama,522,7,0,1,41,0,0,121
barackobama4881,Barack Obama,182,23859,0,1,278,0,4,444
DarwinRecalde,Agu,1675,18873,0,1,793,10767,1,930
abzfosho,Alex Burrus,3376,11547,1,1,327,3598,3,407
BraxlynB,Braxlyn Brooken,77,1578,0,1,1718,563,0,1283
JohnnyPetrini,Prisoner_379,2688,49493,0,1,1767,29,60,1649
_xNirvana,👑Nee'💓,2125,31775,1,1,987,3831,1,1129
parsa_joon,comrade!,1713,7677,0,1,570,7711,0,795
JesseAbrams,Jesse Abrams,3107,2322,1,1,332,330,17,348
JanicaRibeiro,Janica,1818,8296,0,1,1710,5674,47,887
busybeeburns,busybeeburns,3156,61,1,1,93,19,1,119
Zerina00,Sheeenz,1652,1013,1,1,1659,3751,2,874
dahanksterF15,Really Dark Knight,2480,17333,1,1,463,5987,7,228
MollyKaySays,Molly Kay,3097,516,1,1,600,115,8,209
MissPhillipson,MissIsabelPhillipson,2169,2480,1,1,843,98,15,443
LEEMAHperu,Leemah,3080,34401,1,1,2060,19842,14,1181
